id,subject_id,subject_name,date,start_time,end_time,duration_hours,session_type
SCH20260604143954108703,SUB20260604143838741672,Mathematics,2026-06-10,08:00,09:00,1.0,Study
SCH20260604143954108715,SUB20260604143851457987,Physics,2026-06-10,09:00,10:45,1.5,Study
SCH20260604143954108728,SUB20260604143918737345,Chemistry,2026-06-10,11:00,13:00,2.0,Study
SCH20260604143954108740,SUB20260604143935691998,English,2026-06-10,13:00,13:45,0.5,Study
SCH20260604143954108755,SUB20260604143838741672,Mathematics,2026-06-11,08:00,09:09,1.15,Review
SCH20260604143954108767,SUB20260604143851457987,Physics,2026-06-11,09:00,10:54,1.5,Study
SCH20260604143954108779,SUB20260604143918737345,Chemistry,2026-06-11,11:00,13:09,2.0,Study
SCH20260604143954108790,SUB20260604143935691998,English,2026-06-11,13:00,13:54,0.5,Study
SCH20260604143954108805,SUB20260604143838741672,Mathematics,2026-06-12,08:00,09:09,1.15,Review
SCH20260604143954108818,SUB20260604143851457987,Physics,2026-06-12,09:00,10:54,1.5,Study
SCH20260604143954108829,SUB20260604143918737345,Chemistry,2026-06-12,11:00,13:09,2.0,Study
SCH20260604143954108840,SUB20260604143935691998,English,2026-06-12,13:00,13:54,0.5,Study
SCH20260604143954108855,SUB20260604143838741672,Mathematics,2026-06-13,08:00,09:09,1.15,Review
SCH20260604143954108869,SUB20260604143851457987,Physics,2026-06-13,09:00,11:07,1.72,Review
SCH20260604143954108881,SUB20260604143918737345,Chemistry,2026-06-13,11:00,13:22,2.0,Study
SCH20260604143954108893,SUB20260604143935691998,English,2026-06-13,13:00,14:07,0.5,Study
SCH20260604143954108908,SUB20260604143838741672,Mathematics,2026-06-14,08:00,09:09,1.15,Review
SCH20260604143954108921,SUB20260604143851457987,Physics,2026-06-14,09:00,11:07,1.72,Review
SCH20260604143954108932,SUB20260604143918737345,Chemistry,2026-06-14,11:00,13:22,2.0,Study
SCH20260604143954108944,SUB20260604143935691998,English,2026-06-14,13:00,14:07,0.5,Study
SCH20260604143954108960,SUB20260604143838741672,Mathematics,2026-06-15,08:00,09:18,1.3,Review
SCH20260604143954108972,SUB20260604143851457987,Physics,2026-06-15,09:00,11:16,1.72,Review
SCH20260604143954108983,SUB20260604143918737345,Chemistry,2026-06-15,11:00,13:49,2.3,Review
SCH20260604143954108995,SUB20260604143935691998,English,2026-06-15,14:00,14:34,0.5,Study
SCH20260604143954109010,SUB20260604143838741672,Mathematics,2026-06-16,08:00,09:18,1.3,Practice
SCH20260604143954109022,SUB20260604143851457987,Physics,2026-06-16,09:00,11:16,1.72,Review
SCH20260604143954109033,SUB20260604143918737345,Chemistry,2026-06-16,11:00,13:49,2.3,Review
SCH20260604143954109045,SUB20260604143935691998,English,2026-06-16,14:00,14:34,0.5,Study
SCH20260604143954109060,SUB20260604143838741672,Mathematics,2026-06-17,08:00,09:18,1.3,Practice
SCH20260604143954109072,SUB20260604143851457987,Physics,2026-06-17,09:00,11:30,1.95,Review
SCH20260604143954109084,SUB20260604143918737345,Chemistry,2026-06-17,11:00,14:03,2.3,Review
SCH20260604143954109095,SUB20260604143935691998,English,2026-06-17,14:00,14:52,0.57,Review
SCH20260604143954109111,SUB20260604143851457987,Physics,2026-06-18,08:00,09:56,1.95,Practice
SCH20260604143954109123,SUB20260604143918737345,Chemistry,2026-06-18,10:00,12:30,2.3,Review
SCH20260604143954109134,SUB20260604143935691998,English,2026-06-18,12:00,13:19,0.57,Review
SCH20260604143954109149,SUB20260604143851457987,Physics,2026-06-19,08:00,09:56,1.95,Practice
SCH20260604143954109161,SUB20260604143918737345,Chemistry,2026-06-19,10:00,12:47,2.6,Review
SCH20260604143954109173,SUB20260604143935691998,English,2026-06-19,13:00,13:37,0.57,Review
SCH20260604143954109187,SUB20260604143918737345,Chemistry,2026-06-20,08:00,10:35,2.6,Practice
SCH20260604143954109199,SUB20260604143935691998,English,2026-06-20,10:00,11:25,0.57,Review
SCH20260604143954109214,SUB20260604143918737345,Chemistry,2026-06-21,08:00,10:35,2.6,Practice
SCH20260604143954109227,SUB20260604143935691998,English,2026-06-21,10:00,11:30,0.65,Review
SCH20260604143954109241,SUB20260604143935691998,English,2026-06-22,08:00,08:39,0.65,Practice
SCH20260604143954109255,SUB20260604143935691998,English,2026-06-23,08:00,08:39,0.65,Practice
